To	#A	#B	#C	#D
7.125571788943443E-5	150	50	10	0	
8.20444596947518E-5	149	50	9	1	
8.324906489441759E-5	148	49	10	1	
1.971363502997135E-4	147	48	11	1	
7.437066134816516E-4	146	47	12	1	
7.585376820622314E-4	145	46	13	1	
8.164588743316939E-4	144	45	14	1	
8.807972245733745E-4	143	44	15	1	
9.801344861686957E-4	142	43	16	1	
0.0011856390810001806	141	42	17	1	
0.0013595697781739393	140	42	16	2	
0.0014035817275084152	139	41	17	2	
0.0014452972319423923	138	40	18	2	
0.0015593529982594466	137	39	19	2	
0.0019612498850109135	136	38	20	2	
0.002218142238375336	135	37	21	2	
0.002430557479853417	134	36	22	2	
0.002633049398965748	133	36	21	3	
0.0026843530636205676	132	35	22	3	
0.0032311691868499855	131	34	23	3	
0.003241599185062798	130	33	24	3	
0.0034087066638796657	129	32	25	3	
0.0034435129198122157	128	31	26	3	
0.0035284075313863883	127	30	27	3	
0.0037193342852096405	126	29	28	3	
0.0037511444783696222	125	29	27	4	
0.0037581381922354717	124	29	26	5	
0.003995489168469991	123	29	25	6	
0.004160987551851549	122	28	26	6	
0.004528984994333392	121	27	27	6	
0.004590714287882803	120	27	26	7	
0.005034332013078397	119	26	27	7	
0.005064708588188708	118	26	26	8	
0.005534496572301483	117	26	25	9	
0.005741813247167494	116	25	26	9	
0.005974186076600954	115	24	27	9	
0.00598407095004133	114	23	28	9	
0.00638283645794282	113	22	29	9	
0.00649029197217922	112	22	28	10	
0.006790880956068305	111	21	29	10	
0.006976395054404396	110	20	30	10	
0.0076907684047042065	109	20	29	11	
0.007846201551998855	108	19	30	11	
0.008599656831796481	107	19	29	12	
0.00883214699219368	106	18	30	12	
0.008895558410325338	105	18	29	13	
0.008973400380861989	104	17	30	13	
0.010282678556993165	103	16	31	13	
0.010639473183700236	102	16	30	14	
0.010786808699743225	101	15	31	14	
0.010974608682533598	100	14	32	14	
0.011003108919573682	99	14	31	15	
0.011141141638717385	98	14	30	16	
0.011499098626318118	97	14	29	17	
0.012125266770374675	96	14	28	18	
0.012246782565742617	95	13	29	18	
0.013014909137870288	94	12	30	18	
0.013055316446006483	93	11	31	18	
0.013131667267338118	92	11	30	19	
0.013276170093496204	91	11	29	20	
0.013357568585684683	90	10	30	20	
0.013607517014896053	89	10	29	21	
0.01436804433101179	88	10	28	22	
0.014543775299347073	87	10	27	23	
0.014659800901445598	86	10	26	24	
0.015616745378571419	85	10	25	25	
0.016013343306925647	84	9	26	25	
0.017857366710993045	83	8	27	25	
0.017893825914639748	82	8	26	26	
0.01793076355404495	81	8	25	27	
0.017938346133328315	80	7	26	27	
0.01813713034022716	79	7	25	28	
0.01922355566779954	78	6	26	28	
0.019584715261297365	77	6	25	29	
0.01998553682931711	76	5	26	29	
0.020389619471030844	75	5	25	30	
0.020662469398767605	74	5	24	31	
0.020999556646240206	73	5	23	32	
0.021456055532053545	72	4	24	32	
0.02276387386188668	71	4	23	33	
0.02394690917622294	70	4	22	34	
0.025336503965500124	69	3	23	34	
0.025511181126276074	68	3	22	35	
0.031906152592166545	67	3	21	36	
0.03333233647122096	66	3	20	37	
0.034683281525133315	65	2	21	37	
0.035822315353668824	64	2	20	38	
0.03655550130093019	63	2	19	39	
0.03998543096328783	62	1	20	39	
0.041624376961702826	61	1	19	40	
0.042517244243517695	60	1	18	41	
0.04590532114160915	59	1	17	42	
0.04709085366808613	58	1	16	43	
0.052969932692655465	57	1	15	44	
0.0680897084090896	56	0	16	44	
0.06862280246811232	55	0	15	45	
0.07526237609222348	54	0	14	46	
0.07568324028253151	53	0	13	47	
0.07572031653723629	52	0	12	48	
0.08980747962208697	51	0	11	49	
0.09255007710744208	50	0	10	50	
0.0985734913231916	49	0	9	51	
0.10776180864248314	48	0	8	52	
0.12221509513236786	47	0	7	53	
0.12535589086813156	46	0	6	54	
0.12786218015294268	45	0	5	55	
0.13360368289105928	44	0	4	56	
0.1349404288848123	43	0	3	57	
0.1373729217615323	42	0	2	58	
0.2004946490389659	41	0	1	59	
Infinity	40	0	0	60	
